G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
7	Tue, Dec 2, 2014	7:30 pm/est	Charleston Sports Net	REG	@	College of Charleston	CAA	L	55	59		3	4	L 1		college-of-charleston	citadel	2015
8	Sat, Dec 6, 2014	1:00 pm/est		REG		Navy	Patriot	W	67	60		4	4	W 1		navy	citadel	2015
9	Thu, Dec 11, 2014	6:00 pm/est		REG		Chattanooga	Southern	L	48	67		4	5	L 1		chattanooga	citadel	2015
10	Sat, Dec 20, 2014	1:00 pm/est	ESPN3.com	REG	@	Virginia Tech	ACC	L	61	64		4	6	L 2		virginia-tech	citadel	2015
11	Mon, Dec 22, 2014	6:00 pm/est	BTN+	REG	@	Michigan State	Big Ten	L	56	82		4	7	L 3		michigan-state	citadel	2015
12	Tue, Dec 30, 2014	7:00 pm/est		REG		Bethune-Cookman	MEAC	W	51	47		5	7	W 1		bethune-cookman	citadel	2015
13	Sat, Jan 3, 2015	2:00 pm/est	SoCon Digital Network	REG	@	Western Carolina	Southern	L	70	78		5	8	L 1		western-carolina	citadel	2015
14	Mon, Jan 5, 2015	7:00 pm/est		REG	@	North Carolina-Greensboro	Southern	W	85	83	OT	6	8	W 1		north-carolina-greensboro	citadel	2015
15	Thu, Jan 8, 2015	7:00 pm/est		REG		Samford	Southern	W	77	67		7	8	W 2		samford	citadel	2015
16	Sat, Jan 10, 2015	4:00 pm/est	ESPN3.com	REG	@	Mercer	Southern	L	51	74		7	9	L 1		mercer	citadel	2015
17	Thu, Jan 15, 2015	6:00 pm/est		REG		Wofford	Southern	W	69	66		8	9	W 1		wofford	citadel	2015
18	Sat, Jan 17, 2015	1:00 pm/est		REG		Furman	Southern	L	62	74		8	10	L 1		furman	citadel	2015
19	Thu, Jan 22, 2015	7:00 pm/est		REG	@	East Tennessee State	Southern	L	59	70		8	11	L 2		east-tennessee-state	citadel	2015
20	Sat, Jan 24, 2015	1:00 pm/est		REG	@	Virginia Military Institute	Southern	L	75	85		8	12	L 3		virginia-military-institute	citadel	2015
21	Sat, Jan 31, 2015	6:00 pm/est		REG	@	Chattanooga	Southern	L	73	78		8	13	L 4		chattanooga	citadel	2015
22	Thu, Feb 5, 2015	6:00 pm/est		REG		Mercer	Southern	L	53	76		8	14	L 5		mercer	citadel	2015
23	Sat, Feb 7, 2015	1:00 pm/est		REG		North Carolina-Greensboro	Southern	L	63	79		8	15	L 6		north-carolina-greensboro	citadel	2015
24	Thu, Feb 12, 2015	8:00 pm/est		REG	@	Samford	Southern	W	66	65		9	15	W 1		samford	citadel	2015
25	Sun, Feb 15, 2015	5:30 pm/est	MASN	REG		Virginia Military Institute	Southern	L	69	84		9	16	L 1		virginia-military-institute	citadel	2015
26	Thu, Feb 19, 2015	7:00 pm/est		REG	@	Furman	Southern	W	62	56	OT	10	16	W 1		furman	citadel	2015
27	Sat, Feb 21, 2015	7:00 pm/est		REG	@	Wofford	Southern	L	52	78		10	17	L 1		wofford	citadel	2015
28	Thu, Feb 26, 2015	6:00 pm/est		REG		East Tennessee State	Southern	W	74	73		11	17	W 1		east-tennessee-state	citadel	2015
29	Sat, Feb 28, 2015	1:00 pm/est	SoCon Digital Network	REG		Western Carolina	Southern	L	54	67		11	18	L 1		western-carolina	citadel	2015
30	Fri, Mar 6, 2015	8:30 pm/est	ESPN3.com	CTOURN	N	Furman	Southern	L	56	73		11	19	L 2		furman	citadel	2015
1	Fri, Nov 14, 2014	7:00 pm/est	ESPN3.com	REG		Florida A&M	MEAC	W	86	41		1	0	W 1		florida-am	clemson	2015
2	Mon, Nov 17, 2014	7:00 pm/est	RSN, ESPN3.com	REG		Winthrop	Big South	L	74	77		1	1	L 1		winthrop	clemson	2015
3	Fri, Nov 21, 2014	1:30 pm/est		REG	N	Gardner-Webb	Big South	L	70	72		1	2	L 2		gardner-webb	clemson	2015
4	Sat, Nov 22, 2014	2:30 pm/est		REG	N	Nevada	MWC	W	59	50		2	2	W 1		nevada	clemson	2015
5	Mon, Nov 24, 2014	4:00 pm/est		REG	N	Louisiana State	SEC	W	64	61		3	2	W 2		louisiana-state	clemson	2015
6	Fri, Nov 28, 2014	7:00 pm/est		REG		High Point	Big South	W	62	59		4	2	W 3		high-point	clemson	2015
7	Mon, Dec 1, 2014	7:00 pm/est	ESPN U	REG		Rutgers	Big Ten	L	64	69		4	3	L 1		rutgers	clemson	2015
8	Sun, Dec 7, 2014	5:00 pm/est	ESPN U	REG		Arkansas (18)	SEC	W	68	65	OT	5	3	W 1		arkansas	clemson	2015
9	Sun, Dec 14, 2014	4:00 pm/est	ESPN3.com	REG		Auburn	SEC	W	72	61		6	3	W 2		auburn	clemson	2015
10	Fri, Dec 19, 2014	7:00 pm/est	SEC Network	REG	@	South Carolina	SEC	L	45	68		6	4	L 1		south-carolina	clemson	2015
11	Mon, Dec 22, 2014	7:00 pm/est	ESPN3.com	REG		Oakland	Horizon	W	70	60		7	4	W 1		oakland	clemson	2015
12	Tue, Dec 30, 2014	7:00 pm/est	ESPN3.com	REG		Robert Morris	NEC	W	64	57		8	4	W 2		robert-morris	clemson	2015
13	Sat, Jan 3, 2015	8:15 pm/est	ESPN	REG		North Carolina (19)	ACC	L	50	74		8	5	L 1		north-carolina	clemson	2015
14	Wed, Jan 7, 2015	9:00 pm/est	ACC Network, ESPN3.com	REG	@	Louisville (5)	ACC	L	52	58		8	6	L 2		louisville	clemson	2015
15	Sat, Jan 10, 2015	12:00 pm/est	ROOT-PIT, RSN, ESPN3.com	REG	@	Pittsburgh	ACC	W	71	62		9	6	W 1		pittsburgh	clemson	2015
16	Tue, Jan 13, 2015	8:00 pm/est	ACC Network, ESPN3.com	REG	@	Virginia (2)	ACC	L	42	65		9	7	L 1		virginia	clemson	2015
17	Sat, Jan 17, 2015	4:00 pm/est	ACC Network, ESPN3.com	REG		Syracuse	ACC	W	66	53		10	7	W 1		syracuse	clemson	2015
18	Mon, Jan 19, 2015	9:00 pm/est	ESPN U	REG		Florida State	ACC	L	55	59		10	8	L 1		florida-state	clemson	2015
19	Sat, Jan 24, 2015	12:00 pm/est	ACC Network, ESPN3.com	REG		Wake Forest	ACC	W	59	57		11	8	W 1		wake-forest	clemson	2015
20	Wed, Jan 28, 2015	9:00 pm/est	ACC Network, ESPN3.com	REG	@	North Carolina State	ACC	W	68	57		12	8	W 2		north-carolina-state	clemson	2015
21	Sat, Jan 31, 2015	12:00 pm/est	NESN, STO, YES, ROOT	REG		Boston College	ACC	W	64	49		13	8	W 3		boston-college	clemson	2015
22	Wed, Feb 4, 2015	9:00 pm/est	RSN	REG	@	Florida State	ACC	W	62	56		14	8	W 4		florida-state	clemson	2015
23	Sun, Feb 8, 2015	6:30 pm/est	ESPN U	REG	@	Miami (FL)	ACC	L	45	56		14	9	L 1		miami-fl	clemson	2015
24	Tue, Feb 10, 2015	7:00 pm/est	ESPN 2	REG		Notre Dame (10)	ACC	L	58	60		14	10	L 2		notre-dame	clemson	2015
25	Sat, Feb 14, 2015	12:00 pm/est	RSN, MSG+, ROOT-NW	REG		Virginia Tech	ACC	W	75	54		15	10	W 1		virginia-tech	clemson	2015
26	Mon, Feb 16, 2015	7:00 pm/est	ESPN U	REG	@	Georgia Tech	ACC	L	52	63		15	11	L 1		georgia-tech	clemson	2015
27	Sat, Feb 21, 2015	4:00 pm/est	ESPN	REG	@	Duke (4)	ACC	L	56	78		15	12	L 2		duke	clemson	2015
28	Sat, Feb 28, 2015	12:00 pm/est	ACC Network, ESPN3.com	REG		Georgia Tech	ACC	W	70	63	OT	16	12	W 1		georgia-tech	clemson	2015
29	Tue, Mar 3, 2015	9:00 pm/est	FSN-DET, SO, SunSports	REG		North Carolina State	ACC	L	61	66		16	13	L 1		north-carolina-state	clemson	2015
30	Sat, Mar 7, 2015	4:00 pm/est	ACC Network, RSN	REG	@	Notre Dame (12)	ACC	L	67	81		16	14	L 2		notre-dame	clemson	2015
31	Wed, Mar 11, 2015	12:00 pm/est	ACC Network, ESPN	CTOURN	N	Florida State	ACC	L	73	76		16	15	L 3		florida-state	clemson	2015
1	Fri, Nov 14, 2014	7:00 pm/est		REG	@	Iona	MAAC	L	73	78		0	1	L 1		iona	cleveland-state	2015
2	Mon, Nov 17, 2014	7:00 pm/est	ESPN3.com	REG		Tiffin		W	85	56		1	1	W 1		NA	cleveland-state	2015
3	Wed, Nov 19, 2014	7:00 pm/est		REG		Jacksonville State	OVC	W	60	46		2	1	W 2		jacksonville-state	cleveland-state	2015
4	Sat, Nov 22, 2014	4:00 pm/est		REG	@	Savannah State	MEAC	L	83	87	OT	2	2	L 1		savannah-state	cleveland-state	2015
5	Wed, Nov 26, 2014	7:00 pm/est	ESPN3.com	REG	@	Louisville (6)	ACC	L	33	45		2	3	L 2		louisville	cleveland-state	2015
6	Fri, Nov 28, 2014	8:00 pm/est		REG	@	Marshall	CUSA	W	68	59		3	3	W 1		marshall	cleveland-state	2015
7	Wed, Dec 3, 2014	7:00 pm/est		REG		Toledo	MAC	L	54	59		3	4	L 1		toledo	cleveland-state	2015
8	Sun, Dec 7, 2014	1:00 pm/est		REG		Western Illinois	Summit	W	76	54		4	4	W 1		western-illinois	cleveland-state	2015
9	Sat, Dec 13, 2014	4:00 pm/est		REG	@	Bowling Green State	MAC	L	57	67		4	5	L 1		bowling-green-state	cleveland-state	2015
10	Mon, Dec 15, 2014			REG		Mount Vernon Nazarene		W	86	40		5	5	W 1		NA	cleveland-state	2015
11	Thu, Dec 18, 2014	7:00 pm/est	ESPN U	REG	@	Virginia (6)	ACC	L	54	70		5	6	L 1		virginia	cleveland-state	2015
12	Sun, Dec 21, 2014	1:00 pm/est	ESPN3.com	REG		San Francisco	WCC	W	69	65	OT	6	6	W 1		san-francisco	cleveland-state	2015
13	Tue, Dec 23, 2014	2:00 pm/est	ESPN3.com	REG		Eastern Illinois	OVC	L	65	67		6	7	L 1		eastern-illinois	cleveland-state	2015
14	Mon, Dec 29, 2014	7:00 pm/est	CBS 6	REG	@	Virginia Commonwealth	A-10	L	63	72		6	8	L 2		virginia-commonwealth	cleveland-state	2015
15	Fri, Jan 2, 2015	7:00 pm/est	TWC Sports, ESPN3.com	REG		Milwaukee	Horizon	W	84	57		7	8	W 1		milwaukee	cleveland-state	2015
16	Sun, Jan 4, 2015	4:00 pm/est	ESPN3.com	REG	@	Illinois-Chicago	Horizon	W	74	69		8	8	W 2		illinois-chicago	cleveland-state	2015
17	Thu, Jan 8, 2015	7:30 pm/est	HLN, ESPN3.com	REG		Oakland	Horizon	W	65	61		9	8	W 3		oakland	cleveland-state	2015
18	Sat, Jan 10, 2015	8:05 pm/est	ESPN3.com	REG	@	Valparaiso	Horizon	L	56	58		9	9	L 1		valparaiso	cleveland-state	2015
19	Wed, Jan 14, 2015	7:00 pm/est	TWC-OH, ESPN3.com	REG	@	Wright State	Horizon	W	55	50		10	9	W 1		wright-state	cleveland-state	2015
20	Sat, Jan 17, 2015	7:00 pm/est	ESPN3.com	REG	@	Youngstown State	Horizon	W	74	61		11	9	W 2		youngstown-state	cleveland-state	2015
21	Fri, Jan 23, 2015	7:00 pm/est	ESPN3.com	REG		Detroit Mercy	Horizon	W	70	66		12	9	W 3		detroit-mercy	cleveland-state	2015
22	Mon, Jan 26, 2015	7:00 pm/est	TV20, Comcast, ESPN3.com	REG	@	Oakland	Horizon	L	56	59		12	10	L 1		oakland	cleveland-state	2015
23	Sat, Jan 31, 2015	2:00 pm/est	TWC Sports, ESPN3.com	REG		Green Bay	Horizon	W	76	62		13	10	W 1		green-bay	cleveland-state	2015
24	Wed, Feb 4, 2015	7:00 pm/est	ESPN3.com	REG		Youngstown State	Horizon	W	73	60		14	10	W 2		youngstown-state	cleveland-state	2015
25	Sat, Feb 7, 2015	2:00 pm/est	SportsTime OH, ESPN3.com	REG		Wright State	Horizon	W	88	72		15	10	W 3		wright-state	cleveland-state	2015
26	Fri, Feb 13, 2015	8:00 pm/est	ESPN U	REG	@	Detroit Mercy	Horizon	L	65	66		15	11	L 1		detroit-mercy	cleveland-state	2015
27	Sun, Feb 15, 2015	3:00 pm/est	MASN, ESPN3.com	REG		Illinois-Chicago	Horizon	W	67	59		16	11	W 1		illinois-chicago	cleveland-state	2015
28	Fri, Feb 20, 2015	7:00 pm/est	ESPN 2	REG	@	Green Bay	Horizon	W	66	61	OT	17	11	W 2		green-bay	cleveland-state	2015
29	Sun, Feb 22, 2015	3:30 pm/est	ASN, MASN	REG	@	Milwaukee	Horizon	L	60	66		17	12	L 1		milwaukee	cleveland-state	2015
30	Fri, Feb 27, 2015	10:00 pm/est	ESPN U	REG		Valparaiso	Horizon	L	53	56		17	13	L 2		valparaiso	cleveland-state	2015
31	Fri, Mar 6, 2015	9:40 pm/est	ESPN3.com	CTOURN	N	Detroit Mercy	Horizon	W	70	53		18	13	W 1		detroit-mercy	cleveland-state	2015
32	Sat, Mar 7, 2015	9:30 pm/est	ESPN U	CTOURN	@	Valparaiso	Horizon	L	55	60		18	14	L 1		valparaiso	cleveland-state	2015
33	Wed, Mar 18, 2015	7:00 pm/est		CIT	@	Western Michigan	MAC	W	86	57		19	14	W 1		western-michigan	cleveland-state	2015
34	Mon, Mar 23, 2015	7:00 pm/est		CIT	@	NJIT	Ind	L	77	80		19	15	L 1		njit	cleveland-state	2015
1	Fri, Nov 14, 2014	7:30 pm/est		REG		Trinity Baptist		W	79	36		1	0	W 1		NA	coastal-carolina	2015
2	Sun, Nov 16, 2014	10:00 pm/est	Pac-12 Network	REG	@	UCLA	Pac-12	L	71	84		1	1	L 1		ucla	coastal-carolina	2015
3	Tue, Nov 18, 2014	7:00 pm/est		REG		Columbia International		W	82	51		2	1	W 1		NA	coastal-carolina	2015
4	Sat, Nov 22, 2014	6:00 pm/est		REG		Piedmont		W	76	33		3	1	W 2		NA	coastal-carolina	2015
5	Wed, Nov 26, 2014	2:30 pm/est		REG	N	Louisiana-Monroe	Sun Belt	W	61	48		4	1	W 3		louisiana-monroe	coastal-carolina	2015
6	Thu, Nov 27, 2014	2:30 pm/est		REG	@	Chattanooga	Southern	L	67	78		4	2	L 1		chattanooga	coastal-carolina	2015
7	Tue, Dec 2, 2014	7:00 pm/est		REG		South Carolina State	MEAC	W	66	52		5	2	W 1		south-carolina-state	coastal-carolina	2015
8	Fri, Dec 5, 2014	9:00 pm/est	FSN	REG	@	Auburn	SEC	W	58	54		6	2	W 2		auburn	coastal-carolina	2015
9	Thu, Dec 11, 2014	7:00 pm/est		REG		Warren Wilson		W	85	40		7	2	W 3		NA	coastal-carolina	2015
10	Sun, Dec 14, 2014	3:25 pm/est		REG	@	South Carolina State	MEAC	W	57	43		8	2	W 4		south-carolina-state	coastal-carolina	2015
11	Thu, Dec 18, 2014	8:00 pm/est	SEC Network	REG	@	Mississippi	SEC	L	68	71		8	3	L 1		mississippi	coastal-carolina	2015
12	Sun, Dec 21, 2014	1:30 pm/est		REG	@	Central Arkansas	Southland	W	72	55		9	3	W 1		central-arkansas	coastal-carolina	2015
13	Wed, Dec 31, 2014	7:00 pm/est		REG	@	High Point	Big South	W	83	68		10	3	W 2		high-point	coastal-carolina	2015
14	Sat, Jan 3, 2015	2:00 pm/est		REG		Charleston Southern	Big South	W	83	74		11	3	W 3		charleston-southern	coastal-carolina	2015
15	Thu, Jan 8, 2015	7:30 pm/est		REG		Longwood	Big South	W	76	70		12	3	W 4		longwood	coastal-carolina	2015
16	Sat, Jan 10, 2015	7:00 pm/est	MASN	REG	@	Liberty	Big South	W	69	54		13	3	W 5		liberty	coastal-carolina	2015
17	Mon, Jan 12, 2015	8:00 pm/est	ASN, MASN, ESPN3.com	REG	@	Campbell	Big South	W	70	67		14	3	W 6		campbell	coastal-carolina	2015
18	Sat, Jan 17, 2015	4:30 pm/est		REG		Gardner-Webb	Big South	L	67	82		14	4	L 1		gardner-webb	coastal-carolina	2015
19	Thu, Jan 22, 2015	7:00 pm/est	ESPN U	REG	@	North Carolina-Asheville	Big South	L	65	75		14	5	L 2		north-carolina-asheville	coastal-carolina	2015
20	Sat, Jan 24, 2015	4:00 pm/est		REG		Presbyterian	Big South	W	63	52		15	5	W 1		presbyterian	coastal-carolina	2015
21	Wed, Jan 28, 2015	7:00 pm/est		REG		Winthrop	Big South	L	68	75		15	6	L 1		winthrop	coastal-carolina	2015
22	Sat, Jan 31, 2015	4:00 pm/est		REG	@	Gardner-Webb	Big South	L	64	66		15	7	L 2		gardner-webb	coastal-carolina	2015
23	Tue, Feb 3, 2015	7:00 pm/est		REG		North Carolina-Asheville	Big South	W	68	56		16	7	W 1		north-carolina-asheville	coastal-carolina	2015
24	Fri, Feb 6, 2015	9:00 pm/est	ESPN U	REG		High Point	Big South	W	65	60		17	7	W 2		high-point	coastal-carolina	2015
25	Wed, Feb 11, 2015	7:30 pm/est		REG	@	Charleston Southern	Big South	L	72	83		17	8	L 1		charleston-southern	coastal-carolina	2015
26	Sat, Feb 14, 2015	3:30 pm/est	ESPN3.com	REG		Liberty	Big South	W	96	56		18	8	W 1		liberty	coastal-carolina	2015
27	Mon, Feb 16, 2015	8:00 pm/est	ASN, Big South Net, MASN	REG	@	Radford	Big South	W	65	59		19	8	W 2		radford	coastal-carolina	2015
28	Thu, Feb 19, 2015	7:00 pm/est		REG		Campbell	Big South	W	81	57		20	8	W 3		campbell	coastal-carolina	2015
29	Mon, Feb 23, 2015	7:00 pm/est		REG	@	Longwood	Big South	W	72	59		21	8	W 4		longwood	coastal-carolina	2015
30	Thu, Feb 26, 2015	7:00 pm/est		REG	@	Presbyterian	Big South	L	69	80		21	9	L 1		presbyterian	coastal-carolina	2015
31	Fri, Mar 6, 2015	8:55 pm/est	ESPN3.com	CTOURN		North Carolina-Asheville	Big South	W	74	57		22	9	W 1		north-carolina-asheville	coastal-carolina	2015
32	Sat, Mar 7, 2015	2:30 pm/est	ESPN3.com	CTOURN		Gardner-Webb	Big South	W	73	70		23	9	W 2		gardner-webb	coastal-carolina	2015
33	Sun, Mar 8, 2015	12:30 pm/est	ESPN 2	CTOURN	N	Winthrop	Big South	W	81	70		24	9	W 3		winthrop	coastal-carolina	2015
34	Fri, Mar 20, 2015	9:28 pm/est	TBS	NCAA	N	Wisconsin (3)	Big Ten	L	72	86		24	10	L 1		wisconsin	coastal-carolina	2015
1	Sat, Nov 15, 2014	3:00 pm/est		REG	@	La Salle	A-10	L	52	57		0	1	L 1		la-salle	colgate	2015
2	Tue, Nov 18, 2014	7:00 pm/est		REG	@	Cornell	Ivy	L	52	58		0	2	L 2		cornell	colgate	2015
3	Sat, Nov 22, 2014	2:00 pm/est		REG	@	Campbell	Big South	W	54	48		1	2	W 1		campbell	colgate	2015
4	Mon, Nov 24, 2014	7:00 pm/est		REG	@	James Madison	CAA	L	71	77		1	3	L 1		james-madison	colgate	2015
5	Wed, Nov 26, 2014	7:00 pm/est	Patriot League Network	REG		Albany (NY)	AEC	L	71	75		1	4	L 2		albany-ny	colgate	2015
6	Sat, Nov 29, 2014	9:00 pm/est	Pac-12 Network	REG	@	Arizona State	Pac-12	L	71	78		1	5	L 3		arizona-state	colgate	2015
7	Wed, Dec 3, 2014	7:00 pm/est	Patriot League Network	REG		Sacred Heart	NEC	L	70	71		1	6	L 4		sacred-heart	colgate	2015
8	Sat, Dec 6, 2014	4:30 pm/est	BTN	REG	@	Ohio State (14)	Big Ten	L	50	70		1	7	L 5		ohio-state	colgate	2015
9	Tue, Dec 9, 2014	7:00 pm/est	Patriot League Network	REG		Morrisville State		W	88	52		2	7	W 1		NA	colgate	2015
10	Thu, Dec 11, 2014	7:00 pm/est		REG		Binghamton	AEC	W	65	44		3	7	W 2		binghamton	colgate	2015
11	Sun, Dec 14, 2014	1:00 pm/est		REG	@	New Hampshire	AEC	L	57	63		3	8	L 1		new-hampshire	colgate	2015
12	Mon, Dec 22, 2014	7:00 pm/est	ESPNU	REG	@	Syracuse	ACC	L	43	78		3	9	L 2		syracuse	colgate	2015
13	Sun, Dec 28, 2014	2:00 pm/est		REG	@	Columbia	Ivy	L	64	69		3	10	L 3		columbia	colgate	2015
14	Wed, Dec 31, 2014	2:00 pm/est	Patriot League Network	REG	@	Lehigh	Patriot	W	68	61		4	10	W 1		lehigh	colgate	2015
15	Sat, Jan 3, 2015	2:00 pm/est	Patriot League Network	REG		Bucknell	Patriot	W	68	62		5	10	W 2		bucknell	colgate	2015
16	Wed, Jan 7, 2015	7:00 pm/est	Patriot League Network	REG		Holy Cross	Patriot	W	74	60		6	10	W 3		holy-cross	colgate	2015
17	Sat, Jan 10, 2015	4:30 pm/est	CSN+	REG	@	American	Patriot	L	69	71	2OT	6	11	L 1		american	colgate	2015
18	Wed, Jan 14, 2015	7:00 pm/est	Patriot League Network	REG		Boston University	Patriot	W	62	53		7	11	W 1		boston-university	colgate	2015
19	Sat, Jan 17, 2015	4:00 pm/est	Patriot League Network	REG	@	Navy	Patriot	W	65	53		8	11	W 2		navy	colgate	2015
20	Wed, Jan 21, 2015	7:00 pm/est	Patriot League Network	REG	@	Army	Patriot	L	63	65		8	12	L 1		army	colgate	2015
21	Sat, Jan 24, 2015	2:00 pm/est	Patriot League Network	REG		Loyola (MD)	Patriot	W	59	58		9	12	W 1		loyola-md	colgate	2015
22	Wed, Jan 28, 2015	7:00 pm/est	Patriot League Network	REG		Lafayette	Patriot	L	54	59		9	13	L 1		lafayette	colgate	2015
23	Sat, Jan 31, 2015	7:00 pm/est	Patriot League Network	REG	@	Bucknell	Patriot	W	71	69		10	13	W 1		bucknell	colgate	2015
24	Thu, Feb 5, 2015	7:00 pm/est	CBSSN	REG	@	Holy Cross	Patriot	L	60	70		10	14	L 1		holy-cross	colgate	2015
25	Sat, Feb 7, 2015	2:00 pm/est	Patriot League Network	REG		American	Patriot	W	59	43		11	14	W 1		american	colgate	2015
26	Wed, Feb 11, 2015	8:00 pm/est	ASN, Patriot League Net	REG	@	Boston University	Patriot	W	76	69		12	14	W 2		boston-university	colgate	2015
27	Sat, Feb 14, 2015	2:00 pm/est	Patriot League Network	REG		Navy	Patriot	L	69	70		12	15	L 1		navy	colgate	2015
28	Wed, Feb 18, 2015	7:00 pm/est	Patriot League Network	REG		Army	Patriot	W	84	69		13	15	W 1		army	colgate	2015
29	Sun, Feb 22, 2015	12:00 pm/est		REG	@	Loyola (MD)	Patriot	L	78	80	3OT	13	16	L 1		loyola-md	colgate	2015
30	Wed, Feb 25, 2015	7:00 pm/est	Patriot League Network	REG	@	Lafayette	Patriot	W	95	83		14	16	W 1		lafayette	colgate	2015
31	Sat, Feb 28, 2015	12:00 pm/est	CBSSN	REG		Lehigh	Patriot	W	61	55		15	16	W 2		lehigh	colgate	2015
32	Thu, Mar 5, 2015	7:00 pm/est	Patriot League Network	CTOURN		Navy	Patriot	W	72	62		16	16	W 3		navy	colgate	2015
33	Sun, Mar 8, 2015	4:00 pm/est	CBSSN	CTOURN		American	Patriot	L	62	73		16	17	L 1		american	colgate	2015
1	Fri, Nov 14, 2014	8:20 pm/est	ESPN3.com	REG	@	Furman	Southern	W	75	40		1	0	W 1		furman	college-of-charleston	2015
2	Mon, Nov 17, 2014	7:30 pm/est	Charleston Sports Net	REG		Gardner-Webb	Big South	L	67	80		1	1	L 1		gardner-webb	college-of-charleston	2015
3	Thu, Nov 20, 2014	1:00 pm/est	ESPN U	REG	N	Connecticut (17)	AAC	L	57	65		1	2	L 2		connecticut	college-of-charleston	2015
4	Fri, Nov 21, 2014	12:00 pm/est	ESPN U	REG	N	Texas A&M	SEC	L	50	59		1	3	L 3		texas-am	college-of-charleston	2015
5	Sun, Nov 23, 2014	11:30 am/est	ESPN3.com	REG	N	George Mason	A-10	W	61	60		2	3	W 1		george-mason	college-of-charleston	2015
6	Sat, Nov 29, 2014	7:30 pm/est	WV Media	REG	@	West Virginia (21)	Big 12	L	57	86		2	4	L 1		west-virginia	college-of-charleston	2015
7	Tue, Dec 2, 2014	7:30 pm/est	Charleston Sports Net	REG		Citadel	Southern	W	59	55		3	4	W 1		citadel	college-of-charleston	2015
8	Thu, Dec 11, 2014	7:30 pm/est	MyTV	REG		South Carolina State	MEAC	W	50	47		4	4	W 2		south-carolina-state	college-of-charleston	2015
9	Sun, Dec 14, 2014	2:00 pm/est	MyTV	REG		Campbell	Big South	W	58	47		5	4	W 3		campbell	college-of-charleston	2015
10	Tue, Dec 16, 2014	8:00 pm/est	WCCB, ASN, MASN2	REG	@	Charlotte	CUSA	L	85	90	OT	5	5	L 1		charlotte	college-of-charleston	2015
11	Sat, Dec 20, 2014	4:00 pm/est	Charleston Sports Net	REG		Davidson	A-10	L	68	80		5	6	L 2		davidson	college-of-charleston	2015
12	Mon, Dec 22, 2014	9:00 pm/est	SEC Network	REG	@	Louisiana State	SEC	L	47	71		5	7	L 3		louisiana-state	college-of-charleston	2015
13	Tue, Dec 30, 2014	7:00 pm/est	ESPN3.com	REG	@	Miami (FL)	ACC	L	40	67		5	8	L 4		miami-fl	college-of-charleston	2015
14	Sat, Jan 3, 2015	2:00 pm/est	CSN-MA, NE, TCN-PHI	REG	@	William & Mary	CAA	L	45	75		5	9	L 5		william-mary	college-of-charleston	2015
15	Mon, Jan 5, 2015	7:30 pm/est	MyTV	REG		James Madison	CAA	L	50	61		5	10	L 6		james-madison	college-of-charleston	2015
16	Thu, Jan 8, 2015	7:30 pm/est	MyTV	REG		Hofstra	CAA	L	66	71		5	11	L 7		hofstra	college-of-charleston	2015
17	Sat, Jan 10, 2015	6:00 pm/est	WCIV, MyTV	REG		Delaware	CAA	L	58	64		5	12	L 8		delaware	college-of-charleston	2015
18	Wed, Jan 14, 2015	7:00 pm/est		REG	@	Elon	CAA	W	66	50		6	12	W 1		elon	college-of-charleston	2015
19	Sat, Jan 17, 2015	7:00 pm/est		REG	@	Northeastern	CAA	L	67	69		6	13	L 1		northeastern	college-of-charleston	2015
20	Wed, Jan 21, 2015	7:30 pm/est	MyTV	REG		North Carolina-Wilmington	CAA	L	56	58	OT	6	14	L 2		north-carolina-wilmington	college-of-charleston	2015
21	Sat, Jan 24, 2015	12:00 pm/est	NBCSN	REG	@	Drexel	CAA	L	51	53		6	15	L 3		drexel	college-of-charleston	2015
22	Thu, Jan 29, 2015	7:00 pm/est		REG	@	Towson	CAA	L	70	74		6	16	L 4		towson	college-of-charleston	2015
23	Sat, Jan 31, 2015	2:00 pm/est		REG	@	Delaware	CAA	L	68	71		6	17	L 5		delaware	college-of-charleston	2015
24	Thu, Feb 5, 2015	7:30 pm/est	MyTV	REG		William & Mary	CAA	W	80	72		7	17	W 1		william-mary	college-of-charleston	2015
25	Sat, Feb 7, 2015	5:00 pm/est	MyTV	REG		Drexel	CAA	L	45	59		7	18	L 1		drexel	college-of-charleston	2015
26	Wed, Feb 11, 2015	7:00 pm/est		REG	@	North Carolina-Wilmington	CAA	L	45	58		7	19	L 2		north-carolina-wilmington	college-of-charleston	2015
27	Sun, Feb 15, 2015	12:30 pm/est	NBCSN	REG		Towson	CAA	L	50	53		7	20	L 3		towson	college-of-charleston	2015
28	Wed, Feb 18, 2015	7:00 pm/est		REG		Elon	CAA	W	77	63		8	20	W 1		elon	college-of-charleston	2015
29	Sun, Feb 22, 2015	12:00 pm/est	CSN-MA, BAL, PHI, SNY	REG	@	James Madison	CAA	L	61	68		8	21	L 1		james-madison	college-of-charleston	2015
30	Wed, Feb 25, 2015	7:00 pm/est		REG	@	Hofstra	CAA	L	40	73		8	22	L 2		hofstra	college-of-charleston	2015
31	Sat, Feb 28, 2015	8:00 pm/est	American Sports Network	REG		Northeastern	CAA	L	56	65		8	23	L 3		northeastern	college-of-charleston	2015
